,from_id,to_id,option,segment,transport_mode,departure_time,distance,travel_time,wait_time,route,geometry,mode,travel time (min),trip,Proj_distance,ghg_co2_emission
10,0,1,2,4,TransportMode.WALK,2022-02-22 08:57:00,99.254,0 days 00:01:41,0 days 00:00:58,,"LINESTRING (24.9156272 60.1630661, 24.9156033 60.1632281, 24.9155935 60.1632949, 24.9154372 60.1632916, 24.9154297 60.1633554, 24.9151675 60.1633729, 24.9149673 60.1633662, 24.9149638 60.1634003, 24.9149618 60.1634202, 24.9142289 60.163401, 24.9142069 60.1634003, 24.9142289 60.163401, 24.9149618 60.1634202)",TransportMode.WALK,1.68,0 to 1,157.13,0.0
11,0,1,2,5,TransportMode.BUS,2022-02-22 08:59:00,,0 days 00:02:00,0 days 00:01:21,22,"LINESTRING (24.914207 60.163396, 24.9044 60.16338)",TransportMode.BUS,2.0,0 to 1,544.4,31.35744
12,0,1,2,6,TransportMode.WALK,2022-02-22 09:02:00,437.183,0 days 00:07:24,0 days 00:00:00,,"LINESTRING (24.9082428 60.1622831, 24.9082137 60.1622494, 24.9082428 60.1622831, 24.9080812 60.1623189, 24.9077452 60.1623975, 24.9077907 60.1624724, 24.9068731 60.1623472, 24.9073257 60.1624044, 24.9077115 60.1624671, 24.90664 60.1623114, 24.9063034 60.162259, 24.9059468 60.1628829, 24.905977 60.1628253, 24.9062683 60.1623096, 24.9056964 60.1628888, 24.9059075 60.1629209, 24.9043754 60.1626742, 24.9043131 60.1626649, 24.9037171 60.1627841, 24.9038393 60.1625877, 24.9037113 60.1628382, 24.9039103 60.1629048, 24.9038497 60.1629666, 24.9038445 60.1631485, 24.9037268 60.1631019, 24.9043995 60.1633845)",TransportMode.WALK,7.4,0 to 1,731.59,0.0
13,0,1,3,0,TransportMode.WALK,2022-02-22 08:31:49,1166.579,0 days 00:19:54,0 days 00:00:00,,"LINESTRING (24.9579411 60.1687238, 24.9579334 60.1687296, 24.9577428 60.1687244, 24.9577395 60.168653, 24.9577409 60.1686358, 24.9573643 60.1686231, 24.9573632 60.1686366, 24.9573577 60.1687141, 24.9572862 60.1687122, 24.9570558 60.168706, 24.9570613 60.1686871, 24.9570369 60.1687218, 24.9569825 60.1691196, 24.9568813 60.1691175, 24.9568485 60.1691175, 24.9567844 60.1691165, 24.956722 60.1691156, 24.9566243 60.1691128, 24.956487 60.1691097, 24.9559525 60.1690976, 24.9558718 60.1690966, 24.9557798 60.169115, 24.9556699 60.1691132, 24.9555599 60.1691103, 24.9551901 60.1691008, 24.9551254 60.1690981, 24.955122 60.1691213, 24.9551212 60.1691343, 24.9550452 60.1691322, 24.9545994 60.1691198, 24.954282 60.1691115, 24.9540615 60.1691058, 24.9540002 60.1691045, 24.9538417 60.1691016, 24.9538018 60.169101, 24.9537476 60.1690997, 24.953544 60.1690924, 24.9535138 60.16909, 24.9533991 60.169082, 24.9532794 60.1690752, 24.9531026 60.1690704, 24.9530603 60.1690693, 24.9520799 60.169043, 24.9519902 60.1690404, 24.9513244 60.1690234, 24.9511286 60.1690199, 24.9510206 60.1690313, 24.9507534 60.1690245, 24.9504599 60.1690171, 24.9494351 60.1689913, 24.9493278 60.1689886, 24.9492269 60.1689862, 24.9492253 60.1690002, 24.9492245 60.1690154, 24.9492249 60.1690629, 24.9491961 60.1690621, 24.9485718 60.1690474, 24.9485592 60.169207, 24.9483989 60.1692983, 24.9483955 60.1693735, 24.9477061 60.1696957, 24.9474772 60.169712, 24.9473796 60.16971, 24.9473729 60.1697829, 24.9473676 60.1698286, 24.9471427 60.1698225, 24.9456461 60.1697894, 24.9455535 60.1697884, 24.9454154 60.1698061, 24.9453986 60.1698084, 24.945391 60.1698249, 24.9453836 60.1698541, 24.9453798 60.1698838, 24.9453221 60.170357, 24.9453102 60.1703904, 24.9452907 60.1704249, 24.9452499 60.1704672, 24.9451966 60.1705001, 24.9451471 60.1705288, 24.9450886 60.1705619, 24.9450426 60.1705879, 24.9450048 60.170575, 24.9449171 60.1705453, 24.9448324 60.1705194, 24.9446491 60.170463, 24.9445337 60.1704346, 24.9444334 60.1704119, 24.9443199 60.1703985, 24.944192 60.1703912, 24.9441069 60.1704015, 24.944046 60.1704128, 24.9439956 60.1704239, 24.9439554 60.1704361, 24.943918 60.1704509, 24.9438611 60.1704762, 24.9436973 60.170549, 24.9431766 60.1705384, 24.943002 60.1705353, 24.9427564 60.1705295, 24.9425247 60.1705233, 24.9423808 60.1705192, 24.9416559 60.1705041, 24.9416225 60.1705029, 24.9415199 60.1705002, 24.9414006 60.1704977, 24.9405887 60.170478, 24.9405114 60.1704762, 24.9403998 60.1704735, 24.9401927 60.1704658, 24.9399122 60.1704396, 24.9398276 60.1704228, 24.9398276 60.1704228, 24.9398449 60.170388)",TransportMode.WALK,19.9,0 to 1,1230.89,0.0
14,0,1,3,1,TransportMode.SUBWAY,2022-02-22 08:53:00,,0 days 00:03:00,0 days 00:01:04,M1,"LINESTRING (24.9398449 60.170388, 24.931183 60.168853, 24.915563 60.163217)",TransportMode.SUBWAY,3.0,0 to 1,1580.68,39.517
15,0,1,3,2,TransportMode.WALK,2022-02-22 08:57:00,99.254,0 days 00:01:41,0 days 00:00:58,,"LINESTRING (24.9156272 60.1630661, 24.9156033 60.1632281, 24.9155935 60.1632949, 24.9154372 60.1632916, 24.9154297 60.1633554, 24.9151675 60.1633729, 24.9149673 60.1633662, 24.9149638 60.1634003, 24.9149618 60.1634202, 24.9142289 60.163401, 24.9142069 60.1634003, 24.9142289 60.163401, 24.9149618 60.1634202)",TransportMode.WALK,1.68,0 to 1,157.13,0.0
16,0,1,3,3,TransportMode.BUS,2022-02-22 08:59:00,,0 days 00:02:00,0 days 00:01:21,22,"LINESTRING (24.914207 60.163396, 24.9044 60.16338)",TransportMode.BUS,2.0,0 to 1,544.4,31.35744
17,0,1,3,4,TransportMode.WALK,2022-02-22 09:02:00,437.183,0 days 00:07:24,0 days 00:00:00,,"LINESTRING (24.9082428 60.1622831, 24.9082137 60.1622494, 24.9082428 60.1622831, 24.9080812 60.1623189, 24.9077452 60.1623975, 24.9077907 60.1624724, 24.9068731 60.1623472, 24.9073257 60.1624044, 24.9077115 60.1624671, 24.90664 60.1623114, 24.9063034 60.162259, 24.9059468 60.1628829, 24.905977 60.1628253, 24.9062683 60.1623096, 24.9056964 60.1628888, 24.9059075 60.1629209, 24.9043754 60.1626742, 24.9043131 60.1626649, 24.9037171 60.1627841, 24.9038393 60.1625877, 24.9037113 60.1628382, 24.9039103 60.1629048, 24.9038497 60.1629666, 24.9038445 60.1631485, 24.9037268 60.1631019, 24.9043995 60.1633845)",TransportMode.WALK,7.4,0 to 1,731.59,0.0
18,0,1,4,0,TransportMode.WALK,2022-02-22 08:32:12,906.231,0 days 00:15:28,0 days 00:00:00,,"LINESTRING (24.9579411 60.1687238, 24.9579334 60.1687296, 24.9577428 60.1687244, 24.9577395 60.168653, 24.9577409 60.1686358, 24.9573643 60.1686231, 24.9573632 60.1686366, 24.9573577 60.1687141, 24.9572862 60.1687122, 24.9570558 60.168706, 24.9570613 60.1686871, 24.9570369 60.1687218, 24.9569825 60.1691196, 24.9568813 60.1691175, 24.9568485 60.1691175, 24.9568448 60.169181, 24.956838 60.1692708, 24.9567111 60.1692691, 24.9565872 60.1692858, 24.9564881 60.1693172, 24.9563414 60.1693826, 24.9563169 60.1693766, 24.9562897 60.1693756, 24.9562637 60.1693798, 24.9562391 60.1693913, 24.956228 60.1694072, 24.956233 60.1694237, 24.9562529 60.1694373, 24.9561375 60.1695118, 24.956022 60.1695874, 24.9559083 60.1695853, 24.9559061 60.1696044, 24.9558811 60.1696036, 24.9558443 60.1699839, 24.9557569 60.1699813, 24.9556697 60.1699787, 24.9556621 60.1700415, 24.9554337 60.1700347, 24.9550465 60.1700239, 24.9548928 60.1700197, 24.9540099 60.1699952, 24.953665 60.1699856, 24.9535809 60.1699833, 24.9535515 60.1699825, 24.9535406 60.1700603, 24.9535089 60.1700589, 24.953467 60.1700574, 24.9534534 60.1701419, 24.9534233 60.1703624, 24.9533628 60.1703948, 24.9533301 60.1707844, 24.9533286 60.1707944, 24.9520958 60.1707591, 24.9513206 60.1707346, 24.9509569 60.1707229, 24.9509278 60.1707153, 24.9507952 60.1707118, 24.9506705 60.1707096, 24.9499578 60.1706834, 24.9492601 60.1706701, 24.949156 60.1706638, 24.9490585 60.1706614, 24.9490247 60.1706605, 24.9490164 60.1707366, 24.9489942 60.1707359, 24.948705 60.1707317, 24.9479716 60.1707082, 24.9477195 60.1707009, 24.9476872 60.1706991, 24.947657 60.1709788, 24.9476167 60.1712336, 24.9476129 60.171313, 24.9475782 60.1714656, 24.9474853 60.1714824, 24.9475231 60.1715304, 24.947629 60.1717159, 24.9477982 60.1719304, 24.9478687 60.172, 24.94785 60.172026)",TransportMode.WALK,15.47,0 to 1,969.26,0.0
19,0,1,4,1,TransportMode.SUBWAY,2022-02-22 08:57:00,,0 days 00:03:00,0 days 00:02:58,M1,"LINESTRING (24.94785 60.172026, 24.9398449 60.170388, 24.931183 60.168853)",TransportMode.SUBWAY,3.0,0 to 1,990.52,24.763
