ORIGIN_CODE_R9,891126d06c3ffff,891126d06cbffff,891126d06d3ffff,891126d06dbffff,891126d1483ffff,891126d1487ffff,891126d148fffff,891126d1493ffff,891126d1497ffff,891126d14a3ffff,891126d14a7ffff,891126d14b3ffff,891126d14b7ffff,891126d14bbffff,891126d1593ffff,891126d159bffff,891126d15d3ffff,891126d15d7ffff,891126d3003ffff,891126d3007ffff,891126d300bffff,891126d300fffff,891126d301bffff,891126d3023ffff,891126d3027ffff,891126d302bffff,891126d302fffff,891126d3033ffff,891126d3037ffff,891126d303bffff,891126d3043ffff,891126d3047ffff,891126d304bffff,891126d304fffff,891126d3057ffff,891126d3063ffff,891126d3067ffff,891126d306bffff,891126d306fffff,891126d3073ffff,891126d3077ffff,891126d307bffff,891126d3143ffff,891126d3147ffff,891126d314bffff,891126d3153ffff,891126d3157ffff,891126d315bffff,891126d316bffff,891126d317bffff,891126d31cbffff,891126d31cfffff,891126d3207ffff,891126d3223ffff,891126d3227ffff,891126d322bffff,891126d322fffff,891126d3233ffff,891126d3237ffff,891126d3287ffff,891126d32a7ffff,891126d32abffff,891126d32afffff,891126d32b3ffff,891126d32b7ffff,891126d3303ffff,891126d3307ffff,891126d330bffff,891126d330fffff,891126d3313ffff,891126d3317ffff,891126d331bffff,891126d3323ffff,891126d3327ffff,891126d332bffff,891126d332fffff,891126d3333ffff,891126d3337ffff,891126d333bffff,891126d3343ffff,891126d3347ffff,891126d334bffff,891126d334fffff,891126d3353ffff,891126d3357ffff,891126d335bffff,891126d3363ffff,891126d3367ffff,891126d336bffff,891126d336fffff,891126d3373ffff,891126d3377ffff,891126d337bffff,891126d3383ffff,891126d3387ffff,891126d338bffff,891126d338fffff,891126d3393ffff,891126d3397ffff,891126d339bffff,891126d33a3ffff,891126d33a7ffff,891126d33abffff,891126d33afffff,891126d33b3ffff,891126d33b7ffff,891126d33bbffff,891126d33c3ffff,891126d33c7ffff,891126d33cbffff,891126d33cfffff,891126d33d3ffff,891126d33d7ffff,891126d33dbffff
891126d3027ffff,,71381.90799304443,,19029.063004272215,,20903.642491822222,22136.11711243333,,38847.89892402221,41996.04342647779,,,,22516.587240466673,,,,,28304.989720777758,,64644.0914637,,37611.83652905,54809.67501691111,,19381.090179888895,81391.98893439444,7343.81830486111,41250.603966055576,11541.852329077781,,,35867.23528686668,,,23552.487407322216,,12136.734969177778,,9530.04788497222,24323.615756533338,12152.426293077777,7231.731489655554,11162.983356544442,9940.767991544444,34042.702544977794,34639.32708775,20093.112224733333,,,56959.82810991668,4120.561818838888,,37204.18826895556,18130.429305411115,,20163.60621033889,34286.503414800005,,,22086.516873166674,,32002.27125767779,13423.68445802222,,69673.22600591113,,27247.634070222208,44748.044267616664,103886.11184894449,19460.894642622225,46968.058228777794,15080.364472638888,,,16450.271607,12983.289602850002,30429.474000644434,,16033.597574049993,15951.559110394448,,18382.955248583337,,28509.630342199995,,,17522.743351516652,,,32289.04413793336,16277.844950266666,,26718.280201511116,13802.185757811114,9496.144899811112,39825.15528813889,33218.32513910557,14142.579556699999,44154.85173610003,,,,,,,,,11157.24884777222,27407.06171637777,15550.072333872218,,10014.74730585,
891126d302bffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14174.661968755554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13139.4022641,,7953.834829538892,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.1022555444438,,,,,,,,,27349.817442150008,,,,,,,
891126d302fffff,,,,,,,,,35150.74785164444,,,,,,,,,,,,,,,,10483.049708366667,,,,,,,,,,,,,,,,,,,,6486.589301188889,,,20889.35662663889,,,,,,32447.167138866662,14653.395602844448,36102.72374947778,,,,,,,,,,,,,,,,,,,,,,,,,,,,14540.869952427782,,,,,,,,,,9661.989028377782,,,,,21359.983669733323,11127.093752522225,,,,,,,,,9308.673311583336,,13002.770328100003,,,
891126d3037ffff,,,,,,,,,,,,,,,,,,,,,11227.782712650003,,,10486.94585341667,97740.63422795001,,46871.73400875001,,,,,,,,,,,,,,6534.671407833334,,,,,19449.852599877784,,,,24400.10947799446,26468.061108300004,9599.887915800004,,,,,,,,,,,,,,71488.29588071113,,16384.13795464444,,45883.921769933346,12490.768240844447,29004.670953455578,,,,,,,,,,,,,,,,,,,,,,8832.531177322222,10941.87564240556,,32176.055931483344,,17597.29196555556,,,,,,,,,,13173.008738983326,,32007.679605144436,,,
891126d3043ffff,,,,,,,,,,,,,,,,,,,,,,,4800.768256472224,,,,,,13719.26369352777,,,2825.9801554444443,4183.238161355555,6575.589826166666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18572.37194423333,,,17367.016153627792,15660.13694898333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18287.235800711118,,,,,,9879.894431516666,
891126d3047ffff,,,,,,,,,,,,,,,,,,,5069.382847316666,,12893.22746226667,18268.54379279999,4318.013943016668,,,,,,,,,,20596.65947103333,14210.195760444443,,6575.999010350001,23048.313191399997,,,5146.801680844445,,9680.206619844443,,,,,,,,,,,,,,,,,,,,,,,,,,,,13963.855021666672,29538.8757303111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891126d304bffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12167.014598744445,,33708.30837313334,,,12352.689334688892,,,15513.72610402222,,,,,,,,,,,,,,,,,,4292.098944738891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17357.87177666112,,,19250.6925765,,,17472.33067408889,,,,,,,,,,,,,,
891126d304fffff,25002.92080292221,,,73497.66301033332,,,,,,,,18382.34443741112,66465.81502913327,20494.410866844453,,,,,,,36533.96829747778,,,33521.50689813333,26392.02401266666,57990.1161805,,12415.620676044442,26519.464130055545,,18574.311121450002,19813.606729777784,31235.25254091666,,,55268.910515972224,,14490.836808155545,8001.513682205553,10437.232940244448,39222.84623529999,98952.40361747221,,,,17183.87361545555,17873.811520405558,,,,16281.634351616669,17058.835231316665,,,,,,,13892.413835338893,,17195.200308066676,,,27256.88519088889,46998.265063711115,33700.433060155556,54338.520947199984,15088.52443548331,,,45601.815961449975,,,,,,,20684.894999494438,,,16755.754285783318,16889.82437298334,105941.43567777776,,,14376.045819216675,,,,,,18012.904491711106,,13006.69612417778,,,29799.033848033327,,,22341.62245575555,,,,,,,17827.70417221112,,64519.5215658,46823.88307131111,54210.048974044425,22211.887348816657,,19606.635374355556
891126d3063ffff,,16638.585284416662,,,,,,,,,,,,,,,,,9552.392899505558,,10529.234149233336,,,,,,,,,,,,,,,,,2963.809992966667,6516.969744249999,8041.299431277781,,13455.950706449994,,,,,,,,,,,,,19545.67286124445,,59030.066677750016,,10426.13752565,,13728.923998377779,,,,,,,,,,25570.666822400002,,,,,,11776.397889005555,28015.69057295554,,,,,,,,10909.769509527778,,,,,,,,,,6333.963600805557,9023.240657783339,,,4493.761514861117,,,,,,,,,,,,,,
891126d3067ffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11579.147391816674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15962.470688616668,,,,,,5014.178563799998,,,,,,,,,,,,,,
