,from_id,to_id,ghg_co2_emission
0,891126d06c3ffff,891126d06cbffff,19.324257142857142
1,891126d06c3ffff,891126d06d3ffff,6.5714
2,891126d06c3ffff,891126d06dbffff,24.12437777777778
3,891126d06c3ffff,891126d1487ffff,62.5
4,891126d06c3ffff,891126d148fffff,62.5
5,891126d06c3ffff,891126d1497ffff,112.15439999999998
6,891126d06c3ffff,891126d14a3ffff,69.55368888888889
7,891126d06c3ffff,891126d14b3ffff,67.08
8,891126d06c3ffff,891126d14b7ffff,69.55368888888889
9,891126d06c3ffff,891126d14bbffff,67.08
10,891126d06c3ffff,891126d1593ffff,20.8375
11,891126d06c3ffff,891126d159bffff,40.085
12,891126d06c3ffff,891126d15d3ffff,73.83034285714287
13,891126d06c3ffff,891126d15d7ffff,73.83034285714287
14,891126d06c3ffff,891126d3003ffff,51.800000000000004
15,891126d06c3ffff,891126d3007ffff,77.7
16,891126d06c3ffff,891126d300bffff,77.7
17,891126d06c3ffff,891126d300fffff,51.800000000000004
18,891126d06c3ffff,891126d301bffff,85.2072
19,891126d06c3ffff,891126d3023ffff,89.82852
20,891126d06c3ffff,891126d3027ffff,90.79733333333333
21,891126d06c3ffff,891126d302bffff,54.82992
22,891126d06c3ffff,891126d302fffff,33.25
23,891126d06c3ffff,891126d3033ffff,69.25296
24,891126d06c3ffff,891126d3037ffff,103.23555
25,891126d06c3ffff,891126d303bffff,60.649950000000004
26,891126d06c3ffff,891126d3043ffff,82.15833333333335
27,891126d06c3ffff,891126d3047ffff,77.7
28,891126d06c3ffff,891126d304bffff,82.15833333333335
29,891126d06c3ffff,891126d304fffff,77.7
30,891126d06c3ffff,891126d3057ffff,77.7
31,891126d06c3ffff,891126d3063ffff,62.494200000000006
32,891126d06c3ffff,891126d3067ffff,45.15345
33,891126d06c3ffff,891126d306bffff,71.49896
34,891126d06c3ffff,891126d306fffff,56.26992
35,891126d06c3ffff,891126d3073ffff,51.800000000000004
36,891126d06c3ffff,891126d3077ffff,60.649950000000004
37,891126d06c3ffff,891126d307bffff,51.800000000000004
38,891126d06c3ffff,891126d3143ffff,61.80276
39,891126d06c3ffff,891126d3147ffff,62.06772000000001
40,891126d06c3ffff,891126d314bffff,38.75625
41,891126d06c3ffff,891126d314fffff,61.80276
42,891126d06c3ffff,891126d3153ffff,82.80548571428572
43,891126d06c3ffff,891126d3157ffff,61.80276
44,891126d06c3ffff,891126d315bffff,95.33358
45,891126d06c3ffff,891126d316bffff,7.257999999999999
46,891126d06c3ffff,891126d317bffff,17.1648
47,891126d06c3ffff,891126d31cbffff,101.76622499999999
48,891126d06c3ffff,891126d31cfffff,103.80040000000001
49,891126d06c3ffff,891126d3203ffff,103.69999999999999
50,891126d06c3ffff,891126d3207ffff,103.69999999999999
51,891126d06c3ffff,891126d3213ffff,103.69999999999999
52,891126d06c3ffff,891126d3217ffff,103.69999999999999
53,891126d06c3ffff,891126d3223ffff,123.37424999999999
54,891126d06c3ffff,891126d3227ffff,111.14864999999999
55,891126d06c3ffff,891126d322fffff,123.37424999999999
56,891126d06c3ffff,891126d3233ffff,123.96633333333334
