,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
180026,891126d06c3ffff,891126d06c3ffff,2023-06-01,4,656.0
180027,891126d06c3ffff,891126d06c3ffff,2023-06-02,4,651.0
180028,891126d06c3ffff,891126d06c3ffff,2023-06-03,4,664.0
180029,891126d06c3ffff,891126d06c3ffff,2023-06-04,4,639.0
180030,891126d06c3ffff,891126d06c3ffff,2023-06-05,4,597.0
180031,891126d06c3ffff,891126d06c3ffff,2023-06-06,10,1448.0
180032,891126d06c3ffff,891126d06c3ffff,2023-06-07,12,1776.0
180033,891126d06c3ffff,891126d06c3ffff,2023-06-08,8,1201.0
180034,891126d06c3ffff,891126d06c3ffff,2023-06-09,9,1349.0
180035,891126d06c3ffff,891126d06c3ffff,2023-06-10,8,1263.0
180036,891126d06c3ffff,891126d06c3ffff,2023-06-11,5,776.0
180037,891126d06c3ffff,891126d06c3ffff,2023-06-12,5,726.0
180038,891126d06c3ffff,891126d06c3ffff,2023-06-13,8,1210.0
180039,891126d06c3ffff,891126d06c3ffff,2023-06-14,7,1070.0
180040,891126d06c3ffff,891126d06c3ffff,2023-06-15,4,623.0
180041,891126d06c3ffff,891126d06c3ffff,2023-06-16,5,786.0
180042,891126d06c3ffff,891126d06c3ffff,2023-06-17,6,1014.0
180043,891126d06c3ffff,891126d06c3ffff,2023-06-18,4,740.0
180044,891126d06c3ffff,891126d06c3ffff,2023-06-19,4,725.0
180045,891126d06c3ffff,891126d06c3ffff,2023-06-20,4,675.0
180046,891126d06c3ffff,891126d06c3ffff,2023-06-21,5,894.0
180047,891126d06c3ffff,891126d06c3ffff,2023-06-22,4,760.0
180048,891126d06c3ffff,891126d06c3ffff,2023-06-23,2,388.0
180049,891126d06c3ffff,891126d06c3ffff,2023-06-25,2,446.0
180050,891126d06c3ffff,891126d06c3ffff,2023-06-26,3,670.0
180051,891126d06c3ffff,891126d06c3ffff,2023-06-27,3,691.0
180052,891126d06c3ffff,891126d06c3ffff,2023-06-29,2,482.0
180053,891126d06c3ffff,891126d06c3ffff,2023-06-30,2,490.0
180056,891126d06c3ffff,891126d06d3ffff,2023-06-10,1,158.0
180063,891126d06c3ffff,891126d06dbffff,2023-06-02,1,163.0
180064,891126d06c3ffff,891126d06dbffff,2023-06-06,1,145.0
180065,891126d06c3ffff,891126d06dbffff,2023-06-12,1,145.0
180080,891126d06c3ffff,891126d3147ffff,2023-06-03,1,166.0
180081,891126d06c3ffff,891126d3147ffff,2023-06-07,1,148.0
180082,891126d06c3ffff,891126d3147ffff,2023-06-12,1,145.0
180083,891126d06c3ffff,891126d3307ffff,2023-06-23,1,194.0
180084,891126d06c3ffff,891126d3327ffff,2023-06-04,1,160.0
180085,891126d06c3ffff,891126d3327ffff,2023-06-06,1,145.0
180086,891126d06c3ffff,891126d3327ffff,2023-06-11,1,155.0
180087,891126d06c3ffff,891126d3327ffff,2023-06-27,1,230.0
180088,891126d06c3ffff,891126d3327ffff,2023-06-29,1,241.0
180089,891126d06c3ffff,891126d3327ffff,2023-06-30,1,245.0
180090,891126d06c3ffff,891126d332fffff,2023-06-04,1,160.0
180091,891126d06c3ffff,891126d332fffff,2023-06-11,1,155.0
180092,891126d06c3ffff,891126d332fffff,2023-06-26,1,223.0
180093,891126d06c3ffff,891126d332fffff,2023-06-27,1,230.0
180094,891126d06c3ffff,891126d332fffff,2023-06-30,1,245.0
180095,891126d06c3ffff,891126d335bffff,2023-06-07,1,148.0
180225,891126d06cbffff,891126d06c3ffff,2023-06-15,1,156.0
180226,891126d06cbffff,891126d06cbffff,2023-06-03,3,498.0
180227,891126d06cbffff,891126d06cbffff,2023-06-04,2,320.0
180228,891126d06cbffff,891126d06cbffff,2023-06-05,2,298.0
180229,891126d06cbffff,891126d06cbffff,2023-06-06,2,290.0
180230,891126d06cbffff,891126d06cbffff,2023-06-07,1,148.0
180231,891126d06cbffff,891126d06cbffff,2023-06-09,2,299.0
180232,891126d06cbffff,891126d06cbffff,2023-06-10,1,158.0
180233,891126d06cbffff,891126d06cbffff,2023-06-13,2,302.0
180234,891126d06cbffff,891126d06cbffff,2023-06-20,1,169.0
180235,891126d06cbffff,891126d06cbffff,2023-06-21,3,537.0
180236,891126d06cbffff,891126d06cbffff,2023-06-26,1,223.0
180237,891126d06cbffff,891126d06cbffff,2023-06-27,1,230.0
180238,891126d06cbffff,891126d06cbffff,2023-06-29,1,241.0
180239,891126d06cbffff,891126d06cbffff,2023-06-30,1,245.0
180241,891126d06cbffff,891126d3327ffff,2023-06-26,1,223.0
180318,891126d06d3ffff,891126d06d3ffff,2023-06-13,1,151.0
180320,891126d06d3ffff,891126d3353ffff,2023-06-30,1,245.0
180489,891126d06dbffff,891126d06c3ffff,2023-06-24,2,420.0
180490,891126d06dbffff,891126d06c3ffff,2023-06-25,2,446.0
180491,891126d06dbffff,891126d06dbffff,2023-06-02,2,325.0
180492,891126d06dbffff,891126d06dbffff,2023-06-03,1,166.0
180493,891126d06dbffff,891126d06dbffff,2023-06-04,2,319.0
180494,891126d06dbffff,891126d06dbffff,2023-06-05,2,299.0
180495,891126d06dbffff,891126d06dbffff,2023-06-06,1,145.0
180496,891126d06dbffff,891126d06dbffff,2023-06-07,1,148.0
180497,891126d06dbffff,891126d06dbffff,2023-06-08,1,150.0
180498,891126d06dbffff,891126d06dbffff,2023-06-10,1,158.0
180499,891126d06dbffff,891126d06dbffff,2023-06-11,2,311.0
180500,891126d06dbffff,891126d06dbffff,2023-06-12,1,145.0
180501,891126d06dbffff,891126d06dbffff,2023-06-13,1,151.0
180502,891126d06dbffff,891126d06dbffff,2023-06-14,1,153.0
180503,891126d06dbffff,891126d06dbffff,2023-06-15,1,156.0
180504,891126d06dbffff,891126d06dbffff,2023-06-21,1,179.0
180505,891126d06dbffff,891126d06dbffff,2023-06-23,1,194.0
180506,891126d06dbffff,891126d06dbffff,2023-06-24,1,210.0
180507,891126d06dbffff,891126d06dbffff,2023-06-25,1,223.0
180508,891126d06dbffff,891126d06dbffff,2023-06-30,1,245.0
180510,891126d06dbffff,891126d3317ffff,2023-06-04,1,160.0
180511,891126d06dbffff,891126d3383ffff,2023-06-04,1,160.0
180512,891126d06dbffff,891126d3383ffff,2023-06-18,1,185.0
180513,891126d06dbffff,891126d338fffff,2023-06-04,2,320.0
180514,891126d06dbffff,891126d3393ffff,2023-06-04,1,160.0
180515,891126d06dbffff,891126d3393ffff,2023-06-18,1,185.0
180516,891126d06dbffff,891126d3393ffff,2023-06-24,1,210.0
180517,891126d06dbffff,891126d3393ffff,2023-06-25,1,223.0
180518,891126d06dbffff,891126d3393ffff,2023-06-30,1,245.0
180519,891126d06dbffff,891126d33a7ffff,2023-06-02,1,163.0
180520,891126d06dbffff,891126d33a7ffff,2023-06-07,1,148.0
180521,891126d06dbffff,891126d33a7ffff,2023-06-10,1,158.0
180522,891126d06dbffff,891126d33c7ffff,2023-06-30,1,245.0
196693,891126d1497ffff,891126d1497ffff,2023-06-01,5,822.0
196694,891126d1497ffff,891126d1497ffff,2023-06-02,6,976.0
196695,891126d1497ffff,891126d1497ffff,2023-06-03,6,996.0
196696,891126d1497ffff,891126d1497ffff,2023-06-04,2,319.0
196697,891126d1497ffff,891126d1497ffff,2023-06-05,2,298.0
196698,891126d1497ffff,891126d1497ffff,2023-06-06,4,579.0
196699,891126d1497ffff,891126d1497ffff,2023-06-07,7,1036.0
196700,891126d1497ffff,891126d1497ffff,2023-06-08,8,1203.0
196701,891126d1497ffff,891126d1497ffff,2023-06-09,7,1048.0
196702,891126d1497ffff,891126d1497ffff,2023-06-10,1,158.0
196703,891126d1497ffff,891126d1497ffff,2023-06-11,5,776.0
196704,891126d1497ffff,891126d1497ffff,2023-06-12,7,1017.0
196705,891126d1497ffff,891126d1497ffff,2023-06-13,4,605.0
196706,891126d1497ffff,891126d1497ffff,2023-06-14,3,458.0
196707,891126d1497ffff,891126d1497ffff,2023-06-15,6,935.0
196708,891126d1497ffff,891126d1497ffff,2023-06-16,5,787.0
196709,891126d1497ffff,891126d1497ffff,2023-06-17,3,506.0
196710,891126d1497ffff,891126d1497ffff,2023-06-18,2,370.0
196711,891126d1497ffff,891126d1497ffff,2023-06-19,1,181.0
196712,891126d1497ffff,891126d1497ffff,2023-06-20,1,169.0
196713,891126d1497ffff,891126d1497ffff,2023-06-21,2,358.0
196714,891126d1497ffff,891126d1497ffff,2023-06-22,1,190.0
196715,891126d1497ffff,891126d1497ffff,2023-06-23,5,970.0
196716,891126d1497ffff,891126d1497ffff,2023-06-24,1,210.0
196717,891126d1497ffff,891126d1497ffff,2023-06-25,1,223.0
196718,891126d1497ffff,891126d1497ffff,2023-06-27,1,230.0
196719,891126d1497ffff,891126d14bbffff,2023-06-15,1,156.0
196721,891126d1497ffff,891126d322fffff,2023-06-09,1,150.0
196722,891126d1497ffff,891126d334bffff,2023-06-18,1,185.0
196723,891126d1497ffff,891126d3353ffff,2023-06-19,1,181.0
196724,891126d1497ffff,891126d3353ffff,2023-06-20,1,169.0
196725,891126d1497ffff,891126d3353ffff,2023-06-21,1,179.0
196726,891126d1497ffff,891126d335bffff,2023-06-02,1,163.0
196727,891126d1497ffff,891126d335bffff,2023-06-03,1,166.0
196728,891126d1497ffff,891126d335bffff,2023-06-07,1,148.0
196729,891126d1497ffff,891126d335bffff,2023-06-20,1,169.0
196730,891126d1497ffff,891126d33cfffff,2023-06-12,1,145.0
196748,891126d14b3ffff,891126d14a3ffff,2023-06-21,1,179.0
196749,891126d14b3ffff,891126d14a3ffff,2023-06-22,1,190.0
196750,891126d14b3ffff,891126d14b3ffff,2023-06-01,1,164.0
196751,891126d14b3ffff,891126d14b3ffff,2023-06-03,1,166.0
196752,891126d14b3ffff,891126d14b3ffff,2023-06-04,2,319.0
196753,891126d14b3ffff,891126d14b3ffff,2023-06-05,2,299.0
196754,891126d14b3ffff,891126d14b3ffff,2023-06-06,2,290.0
196755,891126d14b3ffff,891126d14b3ffff,2023-06-07,2,296.0
196756,891126d14b3ffff,891126d14b3ffff,2023-06-08,3,451.0
196757,891126d14b3ffff,891126d14b3ffff,2023-06-09,2,300.0
196758,891126d14b3ffff,891126d14b3ffff,2023-06-10,2,316.0
196759,891126d14b3ffff,891126d14b3ffff,2023-06-13,2,303.0
196760,891126d14b3ffff,891126d14b3ffff,2023-06-14,1,153.0
196761,891126d14b3ffff,891126d14b3ffff,2023-06-15,1,156.0
196762,891126d14b3ffff,891126d14b3ffff,2023-06-16,1,157.0
196763,891126d14b3ffff,891126d14b3ffff,2023-06-17,2,338.0
196764,891126d14b3ffff,891126d14b3ffff,2023-06-18,2,370.0
196765,891126d14b3ffff,891126d14b3ffff,2023-06-19,2,363.0
196766,891126d14b3ffff,891126d14b3ffff,2023-06-21,2,357.0
196767,891126d14b3ffff,891126d14b3ffff,2023-06-22,2,380.0
196768,891126d14b3ffff,891126d14b3ffff,2023-06-23,1,194.0
196769,891126d14b3ffff,891126d14b3ffff,2023-06-24,1,210.0
196770,891126d14b3ffff,891126d14b3ffff,2023-06-25,1,223.0
196771,891126d14b7ffff,891126d14a3ffff,2023-06-05,1,149.0
196772,891126d14b7ffff,891126d14a3ffff,2023-06-06,1,145.0
196773,891126d14b7ffff,891126d14b7ffff,2023-06-05,1,149.0
196774,891126d14b7ffff,891126d14b7ffff,2023-06-06,2,289.0
196775,891126d14b7ffff,891126d14b7ffff,2023-06-07,2,296.0
196776,891126d14b7ffff,891126d14b7ffff,2023-06-14,1,153.0
196777,891126d14b7ffff,891126d14b7ffff,2023-06-23,1,194.0
196778,891126d14b7ffff,891126d3337ffff,2023-06-20,1,169.0
196780,891126d14bbffff,891126d1487ffff,2023-06-02,1,163.0
196781,891126d14bbffff,891126d14bbffff,2023-06-01,2,329.0
196782,891126d14bbffff,891126d14bbffff,2023-06-02,2,325.0
196783,891126d14bbffff,891126d14bbffff,2023-06-03,2,332.0
196784,891126d14bbffff,891126d14bbffff,2023-06-04,3,479.0
196785,891126d14bbffff,891126d14bbffff,2023-06-05,3,448.0
196786,891126d14bbffff,891126d14bbffff,2023-06-06,3,434.0
196787,891126d14bbffff,891126d14bbffff,2023-06-07,4,592.0
196788,891126d14bbffff,891126d14bbffff,2023-06-08,3,451.0
196789,891126d14bbffff,891126d14bbffff,2023-06-09,2,299.0
196790,891126d14bbffff,891126d14bbffff,2023-06-10,3,474.0
196791,891126d14bbffff,891126d14bbffff,2023-06-11,2,311.0
196792,891126d14bbffff,891126d14bbffff,2023-06-12,3,436.0
196793,891126d14bbffff,891126d14bbffff,2023-06-13,3,454.0
196794,891126d14bbffff,891126d14bbffff,2023-06-14,2,305.0
196795,891126d14bbffff,891126d14bbffff,2023-06-15,1,156.0
196796,891126d14bbffff,891126d14bbffff,2023-06-16,1,157.0
