,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
519204,891126d06c3ffff,891126d06c3ffff,2023-06-01,5,821.0
519205,891126d06c3ffff,891126d06c3ffff,2023-06-02,3,488.0
519206,891126d06c3ffff,891126d06c3ffff,2023-06-03,2,332.0
519207,891126d06c3ffff,891126d06c3ffff,2023-06-04,5,799.0
519208,891126d06c3ffff,891126d06c3ffff,2023-06-05,10,1492.0
519209,891126d06c3ffff,891126d06c3ffff,2023-06-06,9,1303.0
519210,891126d06c3ffff,891126d06c3ffff,2023-06-07,10,1480.0
519211,891126d06c3ffff,891126d06c3ffff,2023-06-08,7,1051.0
519212,891126d06c3ffff,891126d06c3ffff,2023-06-09,6,899.0
519213,891126d06c3ffff,891126d06c3ffff,2023-06-10,6,947.0
519214,891126d06c3ffff,891126d06c3ffff,2023-06-11,6,931.0
519215,891126d06c3ffff,891126d06c3ffff,2023-06-12,4,581.0
519216,891126d06c3ffff,891126d06c3ffff,2023-06-13,6,908.0
519217,891126d06c3ffff,891126d06c3ffff,2023-06-14,5,764.0
519218,891126d06c3ffff,891126d06c3ffff,2023-06-15,7,1091.0
519219,891126d06c3ffff,891126d06c3ffff,2023-06-16,3,471.0
519220,891126d06c3ffff,891126d06c3ffff,2023-06-17,6,1014.0
519221,891126d06c3ffff,891126d06c3ffff,2023-06-18,5,925.0
519222,891126d06c3ffff,891126d06c3ffff,2023-06-19,3,544.0
519223,891126d06c3ffff,891126d06c3ffff,2023-06-20,5,844.0
519224,891126d06c3ffff,891126d06c3ffff,2023-06-21,4,716.0
519225,891126d06c3ffff,891126d06c3ffff,2023-06-22,4,760.0
519226,891126d06c3ffff,891126d06c3ffff,2023-06-23,2,388.0
519227,891126d06c3ffff,891126d06c3ffff,2023-06-25,3,668.0
519228,891126d06c3ffff,891126d06c3ffff,2023-06-26,4,893.0
519229,891126d06c3ffff,891126d06c3ffff,2023-06-27,1,230.0
519230,891126d06c3ffff,891126d06c3ffff,2023-06-29,2,482.0
519231,891126d06c3ffff,891126d06c3ffff,2023-06-30,1,245.0
519235,891126d06c3ffff,891126d06cbffff,2023-06-05,1,149.0
519243,891126d06c3ffff,891126d06d3ffff,2023-06-03,1,166.0
519244,891126d06c3ffff,891126d06d3ffff,2023-06-08,1,150.0
519245,891126d06c3ffff,891126d06d3ffff,2023-06-10,2,316.0
519246,891126d06c3ffff,891126d06d3ffff,2023-06-15,1,156.0
519258,891126d06c3ffff,891126d06dbffff,2023-06-07,1,148.0
519259,891126d06c3ffff,891126d06dbffff,2023-06-15,1,156.0
519260,891126d06c3ffff,891126d06dbffff,2023-06-16,1,157.0
519261,891126d06c3ffff,891126d06dbffff,2023-06-17,3,507.0
519262,891126d06c3ffff,891126d06dbffff,2023-06-25,1,223.0
519263,891126d06c3ffff,891126d06dbffff,2023-06-26,1,223.0
519275,891126d06c3ffff,891126d1487ffff,2023-06-13,2,302.0
519276,891126d06c3ffff,891126d1497ffff,2023-06-13,2,302.0
519277,891126d06c3ffff,891126d14a3ffff,2023-06-07,1,148.0
519278,891126d06c3ffff,891126d14a3ffff,2023-06-13,2,302.0
519279,891126d06c3ffff,891126d14b7ffff,2023-06-07,1,148.0
519323,891126d06c3ffff,891126d3043ffff,2023-06-16,2,314.0
519325,891126d06c3ffff,891126d3063ffff,2023-06-16,1,157.0
519326,891126d06c3ffff,891126d306bffff,2023-06-14,1,153.0
519327,891126d06c3ffff,891126d307bffff,2023-06-16,2,314.0
519335,891126d06c3ffff,891126d3147ffff,2023-06-03,1,166.0
519336,891126d06c3ffff,891126d3147ffff,2023-06-06,1,145.0
519337,891126d06c3ffff,891126d3147ffff,2023-06-07,1,148.0
519338,891126d06c3ffff,891126d3147ffff,2023-06-09,2,299.0
519345,891126d06c3ffff,891126d316bffff,2023-06-03,1,166.0
519346,891126d06c3ffff,891126d316bffff,2023-06-10,1,158.0
519347,891126d06c3ffff,891126d316bffff,2023-06-12,1,145.0
519348,891126d06c3ffff,891126d316bffff,2023-06-19,1,181.0
519352,891126d06c3ffff,891126d317bffff,2023-06-03,1,166.0
519354,891126d06c3ffff,891126d3223ffff,2023-06-13,1,151.0
519355,891126d06c3ffff,891126d3227ffff,2023-06-07,2,296.0
519356,891126d06c3ffff,891126d322fffff,2023-06-13,1,151.0
519357,891126d06c3ffff,891126d3303ffff,2023-06-01,1,164.0
519358,891126d06c3ffff,891126d3303ffff,2023-06-07,3,444.0
519359,891126d06c3ffff,891126d3303ffff,2023-06-17,1,169.0
519360,891126d06c3ffff,891126d3307ffff,2023-06-07,1,148.0
519361,891126d06c3ffff,891126d3307ffff,2023-06-21,1,179.0
519362,891126d06c3ffff,891126d3307ffff,2023-06-23,1,194.0
519363,891126d06c3ffff,891126d330bffff,2023-06-06,1,145.0
519364,891126d06c3ffff,891126d330fffff,2023-06-01,1,164.0
519365,891126d06c3ffff,891126d330fffff,2023-06-07,2,296.0
519366,891126d06c3ffff,891126d330fffff,2023-06-09,2,300.0
519367,891126d06c3ffff,891126d330fffff,2023-06-26,1,223.0
519368,891126d06c3ffff,891126d3313ffff,2023-06-01,1,164.0
519369,891126d06c3ffff,891126d3313ffff,2023-06-23,2,388.0
519370,891126d06c3ffff,891126d3317ffff,2023-06-17,1,169.0
519371,891126d06c3ffff,891126d3317ffff,2023-06-19,1,181.0
519372,891126d06c3ffff,891126d3323ffff,2023-06-26,1,223.0
519373,891126d06c3ffff,891126d3327ffff,2023-06-02,1,163.0
519374,891126d06c3ffff,891126d3327ffff,2023-06-04,1,160.0
519375,891126d06c3ffff,891126d3327ffff,2023-06-06,1,145.0
519376,891126d06c3ffff,891126d3327ffff,2023-06-11,1,155.0
519377,891126d06c3ffff,891126d3327ffff,2023-06-25,1,223.0
519378,891126d06c3ffff,891126d3327ffff,2023-06-26,1,223.0
519379,891126d06c3ffff,891126d3327ffff,2023-06-29,1,241.0
519380,891126d06c3ffff,891126d3327ffff,2023-06-30,1,245.0
519381,891126d06c3ffff,891126d332bffff,2023-06-06,1,145.0
519382,891126d06c3ffff,891126d332fffff,2023-06-06,3,435.0
519383,891126d06c3ffff,891126d332fffff,2023-06-26,1,223.0
519384,891126d06c3ffff,891126d332fffff,2023-06-27,1,230.0
519385,891126d06c3ffff,891126d332fffff,2023-06-29,1,241.0
519386,891126d06c3ffff,891126d3333ffff,2023-06-07,3,444.0
519387,891126d06c3ffff,891126d3333ffff,2023-06-17,2,338.0
519388,891126d06c3ffff,891126d3333ffff,2023-06-21,1,179.0
519389,891126d06c3ffff,891126d3333ffff,2023-06-26,1,223.0
519390,891126d06c3ffff,891126d3337ffff,2023-06-01,1,164.0
519391,891126d06c3ffff,891126d3337ffff,2023-06-07,1,148.0
519392,891126d06c3ffff,891126d3337ffff,2023-06-26,1,223.0
519393,891126d06c3ffff,891126d333bffff,2023-06-26,2,446.0
519394,891126d06c3ffff,891126d3343ffff,2023-06-13,1,151.0
519395,891126d06c3ffff,891126d3353ffff,2023-06-07,1,148.0
519396,891126d06c3ffff,891126d3353ffff,2023-06-13,2,302.0
519397,891126d06c3ffff,891126d335bffff,2023-06-06,1,145.0
519398,891126d06c3ffff,891126d335bffff,2023-06-07,2,296.0
519399,891126d06c3ffff,891126d3367ffff,2023-06-06,3,435.0
519400,891126d06c3ffff,891126d3367ffff,2023-06-07,1,148.0
519401,891126d06c3ffff,891126d3377ffff,2023-06-06,1,145.0
519402,891126d06c3ffff,891126d3377ffff,2023-06-26,1,223.0
519403,891126d06c3ffff,891126d3383ffff,2023-06-07,2,296.0
519404,891126d06c3ffff,891126d339bffff,2023-06-13,1,151.0
519405,891126d06c3ffff,891126d33a3ffff,2023-06-12,1,145.0
519406,891126d06c3ffff,891126d33a3ffff,2023-06-26,1,223.0
519407,891126d06c3ffff,891126d33a3ffff,2023-06-27,1,230.0
519408,891126d06c3ffff,891126d33a7ffff,2023-06-01,1,164.0
519409,891126d06c3ffff,891126d33a7ffff,2023-06-06,1,145.0
519410,891126d06c3ffff,891126d33abffff,2023-06-01,1,164.0
519411,891126d06c3ffff,891126d33abffff,2023-06-07,2,296.0
519412,891126d06c3ffff,891126d33afffff,2023-06-09,1,150.0
519413,891126d06c3ffff,891126d33bbffff,2023-06-21,1,179.0
519414,891126d06c3ffff,891126d33bbffff,2023-06-26,2,446.0
519846,891126d06cbffff,891126d06c3ffff,2023-06-06,1,145.0
519847,891126d06cbffff,891126d06c3ffff,2023-06-09,1,150.0
519848,891126d06cbffff,891126d06c3ffff,2023-06-17,1,169.0
519849,891126d06cbffff,891126d06c3ffff,2023-06-20,1,169.0
519850,891126d06cbffff,891126d06cbffff,2023-06-03,1,166.0
519851,891126d06cbffff,891126d06cbffff,2023-06-04,3,479.0
519852,891126d06cbffff,891126d06cbffff,2023-06-05,2,298.0
519853,891126d06cbffff,891126d06cbffff,2023-06-06,1,145.0
519854,891126d06cbffff,891126d06cbffff,2023-06-07,1,148.0
519855,891126d06cbffff,891126d06cbffff,2023-06-08,2,300.0
519856,891126d06cbffff,891126d06cbffff,2023-06-09,1,150.0
519857,891126d06cbffff,891126d06cbffff,2023-06-15,1,156.0
519858,891126d06cbffff,891126d06cbffff,2023-06-17,1,169.0
519859,891126d06cbffff,891126d06cbffff,2023-06-20,1,169.0
519860,891126d06cbffff,891126d06cbffff,2023-06-21,2,358.0
519861,891126d06cbffff,891126d06cbffff,2023-06-26,2,446.0
519862,891126d06cbffff,891126d06cbffff,2023-06-28,1,233.0
519863,891126d06cbffff,891126d06cbffff,2023-06-29,1,241.0
519875,891126d06cbffff,891126d3327ffff,2023-06-26,1,223.0
520050,891126d06d3ffff,891126d06c3ffff,2023-06-09,1,150.0
520051,891126d06d3ffff,891126d06d3ffff,2023-06-09,1,150.0
520052,891126d06d3ffff,891126d06d3ffff,2023-06-13,1,151.0
520058,891126d06d3ffff,891126d302bffff,2023-06-20,1,169.0
520061,891126d06d3ffff,891126d3353ffff,2023-06-30,1,245.0
520658,891126d06dbffff,891126d06c3ffff,2023-06-12,1,145.0
520659,891126d06dbffff,891126d06c3ffff,2023-06-24,1,210.0
520660,891126d06dbffff,891126d06c3ffff,2023-06-29,1,241.0
520661,891126d06dbffff,891126d06cbffff,2023-06-12,1,145.0
520662,891126d06dbffff,891126d06d3ffff,2023-06-06,1,145.0
520663,891126d06dbffff,891126d06d3ffff,2023-06-07,1,148.0
520664,891126d06dbffff,891126d06dbffff,2023-06-02,2,325.0
520665,891126d06dbffff,891126d06dbffff,2023-06-03,1,166.0
520666,891126d06dbffff,891126d06dbffff,2023-06-04,1,160.0
520667,891126d06dbffff,891126d06dbffff,2023-06-05,3,448.0
520668,891126d06dbffff,891126d06dbffff,2023-06-08,2,300.0
520669,891126d06dbffff,891126d06dbffff,2023-06-10,1,158.0
520670,891126d06dbffff,891126d06dbffff,2023-06-11,1,155.0
520671,891126d06dbffff,891126d06dbffff,2023-06-12,2,290.0
520672,891126d06dbffff,891126d06dbffff,2023-06-13,3,454.0
520673,891126d06dbffff,891126d06dbffff,2023-06-15,3,468.0
520674,891126d06dbffff,891126d06dbffff,2023-06-18,2,369.0
520675,891126d06dbffff,891126d06dbffff,2023-06-20,1,169.0
520676,891126d06dbffff,891126d06dbffff,2023-06-24,1,210.0
520677,891126d06dbffff,891126d06dbffff,2023-06-29,1,241.0
520678,891126d06dbffff,891126d06dbffff,2023-06-30,1,245.0
520695,891126d06dbffff,891126d302bffff,2023-06-04,1,160.0
520697,891126d06dbffff,891126d3157ffff,2023-06-11,1,155.0
520699,891126d06dbffff,891126d316bffff,2023-06-06,1,145.0
520701,891126d06dbffff,891126d317bffff,2023-06-06,1,145.0
520702,891126d06dbffff,891126d317bffff,2023-06-07,1,148.0
520707,891126d06dbffff,891126d3303ffff,2023-06-15,1,156.0
520708,891126d06dbffff,891126d3303ffff,2023-06-23,1,194.0
520709,891126d06dbffff,891126d3307ffff,2023-06-11,1,155.0
520710,891126d06dbffff,891126d3317ffff,2023-06-04,1,160.0
520711,891126d06dbffff,891126d3317ffff,2023-06-11,1,155.0
520712,891126d06dbffff,891126d3317ffff,2023-06-24,1,210.0
520713,891126d06dbffff,891126d3333ffff,2023-06-04,1,160.0
520714,891126d06dbffff,891126d3333ffff,2023-06-05,1,149.0
520715,891126d06dbffff,891126d3333ffff,2023-06-15,1,156.0
520716,891126d06dbffff,891126d3333ffff,2023-06-21,1,179.0
520717,891126d06dbffff,891126d3337ffff,2023-06-15,1,156.0
520718,891126d06dbffff,891126d3337ffff,2023-06-23,1,194.0
520719,891126d06dbffff,891126d3383ffff,2023-06-29,2,482.0
520720,891126d06dbffff,891126d3393ffff,2023-06-04,1,160.0
520721,891126d06dbffff,891126d3393ffff,2023-06-11,1,155.0
520722,891126d06dbffff,891126d3393ffff,2023-06-24,1,210.0
520723,891126d06dbffff,891126d3393ffff,2023-06-25,1,223.0
520724,891126d06dbffff,891126d3393ffff,2023-06-26,1,223.0
