,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
546087,891126d06c3ffff,891126d06c3ffff,2023-05-01,10,1210.0
546088,891126d06c3ffff,891126d06c3ffff,2023-05-02,12,1392.0
546089,891126d06c3ffff,891126d06c3ffff,2023-05-03,15,1685.0
546090,891126d06c3ffff,891126d06c3ffff,2023-05-04,13,1404.0
546091,891126d06c3ffff,891126d06c3ffff,2023-05-05,10,1082.0
546092,891126d06c3ffff,891126d06c3ffff,2023-05-06,12,1296.0
546093,891126d06c3ffff,891126d06c3ffff,2023-05-07,7,763.0
546094,891126d06c3ffff,891126d06c3ffff,2023-05-08,14,1414.0
546095,891126d06c3ffff,891126d06c3ffff,2023-05-09,14,1400.0
546096,891126d06c3ffff,891126d06c3ffff,2023-05-10,9,909.0
546097,891126d06c3ffff,891126d06c3ffff,2023-05-11,13,1275.0
546098,891126d06c3ffff,891126d06c3ffff,2023-05-12,10,987.0
546099,891126d06c3ffff,891126d06c3ffff,2023-05-13,6,612.0
546100,891126d06c3ffff,891126d06c3ffff,2023-05-14,10,1004.0
546101,891126d06c3ffff,891126d06c3ffff,2023-05-15,9,857.0
546102,891126d06c3ffff,891126d06c3ffff,2023-05-16,5,465.0
546103,891126d06c3ffff,891126d06c3ffff,2023-05-17,6,582.0
546104,891126d06c3ffff,891126d06c3ffff,2023-05-18,8,741.0
546105,891126d06c3ffff,891126d06c3ffff,2023-05-19,8,753.0
546106,891126d06c3ffff,891126d06c3ffff,2023-05-20,5,461.0
546107,891126d06c3ffff,891126d06c3ffff,2023-05-21,4,392.0
546108,891126d06c3ffff,891126d06c3ffff,2023-05-22,10,950.0
546109,891126d06c3ffff,891126d06c3ffff,2023-05-23,9,832.0
546110,891126d06c3ffff,891126d06c3ffff,2023-05-24,11,989.0
546111,891126d06c3ffff,891126d06c3ffff,2023-05-25,12,1116.0
546112,891126d06c3ffff,891126d06c3ffff,2023-05-26,5,470.0
546113,891126d06c3ffff,891126d06c3ffff,2023-05-27,5,556.0
546114,891126d06c3ffff,891126d06c3ffff,2023-05-28,8,873.0
546115,891126d06c3ffff,891126d06c3ffff,2023-05-29,7,748.0
546116,891126d06c3ffff,891126d06c3ffff,2023-05-30,5,537.0
546117,891126d06c3ffff,891126d06c3ffff,2023-05-31,6,644.0
546120,891126d06c3ffff,891126d06cbffff,2023-05-05,1,108.0
546121,891126d06c3ffff,891126d06cbffff,2023-05-08,1,101.0
546122,891126d06c3ffff,891126d06cbffff,2023-05-22,1,95.0
546123,891126d06c3ffff,891126d06d3ffff,2023-05-03,1,112.0
546124,891126d06c3ffff,891126d06d3ffff,2023-05-04,1,108.0
546125,891126d06c3ffff,891126d06d3ffff,2023-05-06,1,108.0
546126,891126d06c3ffff,891126d06d3ffff,2023-05-08,1,101.0
546127,891126d06c3ffff,891126d06d3ffff,2023-05-10,1,101.0
546128,891126d06c3ffff,891126d06d3ffff,2023-05-11,1,98.0
546129,891126d06c3ffff,891126d06d3ffff,2023-05-12,1,99.0
546130,891126d06c3ffff,891126d06d3ffff,2023-05-13,2,204.0
546131,891126d06c3ffff,891126d06d3ffff,2023-05-14,1,100.0
546132,891126d06c3ffff,891126d06d3ffff,2023-05-15,2,190.0
546133,891126d06c3ffff,891126d06d3ffff,2023-05-28,1,109.0
546140,891126d06c3ffff,891126d06dbffff,2023-05-02,1,116.0
546141,891126d06c3ffff,891126d06dbffff,2023-05-03,1,112.0
546142,891126d06c3ffff,891126d06dbffff,2023-05-04,1,108.0
546143,891126d06c3ffff,891126d06dbffff,2023-05-06,1,108.0
546144,891126d06c3ffff,891126d06dbffff,2023-05-09,1,100.0
546145,891126d06c3ffff,891126d06dbffff,2023-05-17,1,97.0
546146,891126d06c3ffff,891126d06dbffff,2023-05-30,1,107.0
546147,891126d06c3ffff,891126d06dbffff,2023-05-31,1,107.0
546187,891126d06c3ffff,891126d3073ffff,2023-05-06,1,108.0
546188,891126d06c3ffff,891126d307bffff,2023-05-18,1,93.0
546197,891126d06c3ffff,891126d3147ffff,2023-05-02,1,116.0
546198,891126d06c3ffff,891126d3147ffff,2023-05-12,1,99.0
546199,891126d06c3ffff,891126d3147ffff,2023-05-13,1,102.0
546200,891126d06c3ffff,891126d3147ffff,2023-05-20,1,92.0
546201,891126d06c3ffff,891126d3147ffff,2023-05-24,1,90.0
546202,891126d06c3ffff,891126d3147ffff,2023-05-27,1,111.0
546208,891126d06c3ffff,891126d316bffff,2023-05-01,1,121.0
546209,891126d06c3ffff,891126d316bffff,2023-05-02,1,116.0
546210,891126d06c3ffff,891126d316bffff,2023-05-10,1,101.0
546222,891126d06c3ffff,891126d3307ffff,2023-05-05,1,108.0
546223,891126d06c3ffff,891126d330fffff,2023-05-18,1,93.0
546224,891126d06c3ffff,891126d330fffff,2023-05-28,1,109.0
546225,891126d06c3ffff,891126d3317ffff,2023-05-01,1,121.0
546226,891126d06c3ffff,891126d3317ffff,2023-05-25,1,93.0
546227,891126d06c3ffff,891126d3327ffff,2023-05-05,1,108.0
546228,891126d06c3ffff,891126d3327ffff,2023-05-13,1,102.0
546229,891126d06c3ffff,891126d3327ffff,2023-05-14,1,100.0
546230,891126d06c3ffff,891126d3327ffff,2023-05-16,1,93.0
546231,891126d06c3ffff,891126d332fffff,2023-05-09,1,100.0
546232,891126d06c3ffff,891126d332fffff,2023-05-10,1,101.0
546233,891126d06c3ffff,891126d332fffff,2023-05-11,1,98.0
546234,891126d06c3ffff,891126d332fffff,2023-05-12,1,99.0
546235,891126d06c3ffff,891126d3333ffff,2023-05-28,1,109.0
546236,891126d06c3ffff,891126d3337ffff,2023-05-09,1,100.0
546237,891126d06c3ffff,891126d3387ffff,2023-05-25,1,93.0
546238,891126d06c3ffff,891126d338fffff,2023-05-25,1,93.0
546239,891126d06c3ffff,891126d3393ffff,2023-05-19,1,94.0
546240,891126d06c3ffff,891126d33a3ffff,2023-05-01,1,121.0
546241,891126d06c3ffff,891126d33a7ffff,2023-05-04,1,108.0
546242,891126d06c3ffff,891126d33a7ffff,2023-05-06,1,108.0
546243,891126d06c3ffff,891126d33a7ffff,2023-05-09,1,100.0
546244,891126d06c3ffff,891126d33a7ffff,2023-05-10,1,101.0
546245,891126d06c3ffff,891126d33abffff,2023-05-15,1,95.0
546246,891126d06c3ffff,891126d33afffff,2023-05-15,1,95.0
546247,891126d06c3ffff,891126d33bbffff,2023-05-01,1,121.0
