,index,id,lat,lon
1736,2709,8908996aa47ffff,60.221042658670655,24.725953721042206
1737,2710,8908996aa47ffff,60.221042658670655,24.725953721042206
1738,2711,8908996aa47ffff,60.221042658670655,24.725953721042206
1739,2712,8908996aa47ffff,60.221042658670655,24.725953721042206
1740,2714,8908996aa47ffff,60.221042658670655,24.725953721042206
1741,2715,8908996aa47ffff,60.221042658670655,24.725953721042206
1742,2716,8908996aa47ffff,60.221042658670655,24.725953721042206
1743,2718,8908996aa67ffff,60.22680204223888,24.735510586935874
1744,2719,8908996aa67ffff,60.22680204223888,24.735510586935874
1745,2720,8908996aa67ffff,60.22680204223888,24.735510586935874
1746,2721,8908996aa67ffff,60.22680204223888,24.735510586935874
1747,2722,8908996aa67ffff,60.22680204223888,24.735510586935874
1748,2724,8908996aa67ffff,60.22680204223888,24.735510586935874
1749,2725,8908996aa67ffff,60.22680204223888,24.735510586935874
1750,2726,8908996aa6bffff,60.22170540140084,24.736221668163715
1751,2727,8908996aa6bffff,60.22170540140084,24.736221668163715
1752,2728,8908996aa6bffff,60.22170540140084,24.736221668163715
1753,2730,8908996aa77ffff,60.226470605650704,24.730375704143576
1754,2733,8908996aa83ffff,60.22752475341144,24.706915683015726
1755,2734,8908996aa83ffff,60.22752475341144,24.706915683015726
1756,2735,8908996aa83ffff,60.22752475341144,24.706915683015726
1757,2736,8908996aa83ffff,60.22752475341144,24.706915683015726
1758,2737,8908996aa83ffff,60.22752475341144,24.706915683015726
1759,2738,8908996aa83ffff,60.22752475341144,24.706915683015726
1760,2739,8908996aa83ffff,60.22752475341144,24.706915683015726
1761,2740,8908996aa8bffff,60.22514304727744,24.70983986041121
1762,2741,8908996aa8bffff,60.22514304727744,24.70983986041121
1763,2742,8908996aa8bffff,60.22514304727744,24.70983986041121
1764,2743,8908996aa8bffff,60.22514304727744,24.70983986041121
1765,2744,8908996aa8bffff,60.22514304727744,24.70983986041121
