,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
576777,891126d06c3ffff,891126d06c3ffff,2023-06-01,8,1313.0
576778,891126d06c3ffff,891126d06c3ffff,2023-06-02,5,815.0
576779,891126d06c3ffff,891126d06c3ffff,2023-06-03,6,996.0
576780,891126d06c3ffff,891126d06c3ffff,2023-06-04,3,479.0
576781,891126d06c3ffff,891126d06c3ffff,2023-06-05,8,1195.0
576782,891126d06c3ffff,891126d06c3ffff,2023-06-06,8,1158.0
576783,891126d06c3ffff,891126d06c3ffff,2023-06-07,13,1924.0
576784,891126d06c3ffff,891126d06c3ffff,2023-06-08,9,1352.0
576785,891126d06c3ffff,891126d06c3ffff,2023-06-09,8,1199.0
576786,891126d06c3ffff,891126d06c3ffff,2023-06-10,12,1895.0
576787,891126d06c3ffff,891126d06c3ffff,2023-06-11,6,932.0
576788,891126d06c3ffff,891126d06c3ffff,2023-06-12,5,726.0
576789,891126d06c3ffff,891126d06c3ffff,2023-06-13,8,1211.0
576790,891126d06c3ffff,891126d06c3ffff,2023-06-14,6,916.0
576791,891126d06c3ffff,891126d06c3ffff,2023-06-15,7,1090.0
576792,891126d06c3ffff,891126d06c3ffff,2023-06-16,8,1258.0
576793,891126d06c3ffff,891126d06c3ffff,2023-06-17,6,1013.0
576794,891126d06c3ffff,891126d06c3ffff,2023-06-18,7,1295.0
576795,891126d06c3ffff,891126d06c3ffff,2023-06-19,6,1086.0
576796,891126d06c3ffff,891126d06c3ffff,2023-06-20,5,844.0
576797,891126d06c3ffff,891126d06c3ffff,2023-06-21,7,1251.0
576798,891126d06c3ffff,891126d06c3ffff,2023-06-22,4,760.0
576799,891126d06c3ffff,891126d06c3ffff,2023-06-23,2,388.0
576800,891126d06c3ffff,891126d06c3ffff,2023-06-25,2,446.0
576801,891126d06c3ffff,891126d06c3ffff,2023-06-26,3,670.0
576802,891126d06c3ffff,891126d06c3ffff,2023-06-27,4,921.0
576803,891126d06c3ffff,891126d06c3ffff,2023-06-29,1,241.0
576804,891126d06c3ffff,891126d06c3ffff,2023-06-30,1,245.0
576811,891126d06c3ffff,891126d06d3ffff,2023-06-07,1,148.0
576812,891126d06c3ffff,891126d06d3ffff,2023-06-10,1,158.0
576813,891126d06c3ffff,891126d06d3ffff,2023-06-14,1,153.0
576814,891126d06c3ffff,891126d06d3ffff,2023-06-16,1,157.0
576815,891126d06c3ffff,891126d06d3ffff,2023-06-20,1,169.0
576816,891126d06c3ffff,891126d06d3ffff,2023-06-21,1,179.0
576817,891126d06c3ffff,891126d06d3ffff,2023-06-22,1,190.0
576818,891126d06c3ffff,891126d06d3ffff,2023-06-26,2,446.0
576828,891126d06c3ffff,891126d06dbffff,2023-06-20,2,338.0
576845,891126d06c3ffff,891126d302bffff,2023-06-17,1,169.0
576848,891126d06c3ffff,891126d316bffff,2023-06-16,1,157.0
576849,891126d06c3ffff,891126d316bffff,2023-06-21,1,179.0
576850,891126d06c3ffff,891126d316bffff,2023-06-27,1,230.0
576855,891126d06c3ffff,891126d317bffff,2023-06-20,1,169.0
576856,891126d06c3ffff,891126d317bffff,2023-06-22,1,190.0
576857,891126d06c3ffff,891126d3327ffff,2023-06-06,1,145.0
576858,891126d06c3ffff,891126d3327ffff,2023-06-11,2,310.0
576859,891126d06c3ffff,891126d3327ffff,2023-06-13,1,151.0
576860,891126d06c3ffff,891126d3327ffff,2023-06-25,1,223.0
576861,891126d06c3ffff,891126d3327ffff,2023-06-26,1,223.0
576862,891126d06c3ffff,891126d3327ffff,2023-06-27,1,230.0
576863,891126d06c3ffff,891126d3327ffff,2023-06-29,1,241.0
576864,891126d06c3ffff,891126d3327ffff,2023-06-30,1,245.0
576865,891126d06c3ffff,891126d332fffff,2023-06-11,2,310.0
576866,891126d06c3ffff,891126d332fffff,2023-06-13,1,151.0
576867,891126d06c3ffff,891126d332fffff,2023-06-25,1,223.0
576868,891126d06c3ffff,891126d332fffff,2023-06-26,1,223.0
576869,891126d06c3ffff,891126d332fffff,2023-06-27,1,230.0
576870,891126d06c3ffff,891126d332fffff,2023-06-29,1,241.0
576871,891126d06c3ffff,891126d332fffff,2023-06-30,1,245.0
576872,891126d06c3ffff,891126d3347ffff,2023-06-19,1,181.0
576873,891126d06c3ffff,891126d3353ffff,2023-06-13,1,151.0
576874,891126d06c3ffff,891126d3357ffff,2023-06-13,1,151.0
576875,891126d06c3ffff,891126d335bffff,2023-06-07,1,148.0
576876,891126d06c3ffff,891126d335bffff,2023-06-13,1,151.0
576877,891126d06c3ffff,891126d338fffff,2023-06-19,1,181.0
576878,891126d06c3ffff,891126d33a3ffff,2023-06-27,1,230.0
577140,891126d06cbffff,891126d06c3ffff,2023-06-09,1,150.0
577141,891126d06cbffff,891126d06c3ffff,2023-06-20,1,169.0
577142,891126d06cbffff,891126d06c3ffff,2023-06-26,1,223.0
577143,891126d06cbffff,891126d06cbffff,2023-06-02,1,163.0
577144,891126d06cbffff,891126d06cbffff,2023-06-03,4,664.0
577145,891126d06cbffff,891126d06cbffff,2023-06-04,1,160.0
577146,891126d06cbffff,891126d06cbffff,2023-06-05,1,149.0
577147,891126d06cbffff,891126d06cbffff,2023-06-06,2,290.0
577148,891126d06cbffff,891126d06cbffff,2023-06-07,1,148.0
577149,891126d06cbffff,891126d06cbffff,2023-06-08,2,300.0
577150,891126d06cbffff,891126d06cbffff,2023-06-09,2,299.0
577151,891126d06cbffff,891126d06cbffff,2023-06-10,2,316.0
577152,891126d06cbffff,891126d06cbffff,2023-06-12,1,145.0
577153,891126d06cbffff,891126d06cbffff,2023-06-13,3,453.0
577154,891126d06cbffff,891126d06cbffff,2023-06-17,2,338.0
577155,891126d06cbffff,891126d06cbffff,2023-06-20,1,169.0
577156,891126d06cbffff,891126d06cbffff,2023-06-21,3,536.0
577157,891126d06cbffff,891126d06cbffff,2023-06-22,1,190.0
577158,891126d06cbffff,891126d06cbffff,2023-06-26,1,223.0
577159,891126d06cbffff,891126d06cbffff,2023-06-27,1,230.0
577160,891126d06cbffff,891126d06cbffff,2023-06-28,1,233.0
577161,891126d06cbffff,891126d06cbffff,2023-06-30,1,245.0
577172,891126d06cbffff,891126d3303ffff,2023-06-13,1,151.0
577173,891126d06cbffff,891126d3307ffff,2023-06-13,1,151.0
577174,891126d06cbffff,891126d330fffff,2023-06-13,1,151.0
577175,891126d06cbffff,891126d3327ffff,2023-06-05,1,149.0
577176,891126d06cbffff,891126d3333ffff,2023-06-13,1,151.0
577177,891126d06cbffff,891126d3337ffff,2023-06-13,1,151.0
577297,891126d06d3ffff,891126d06d3ffff,2023-06-08,1,150.0
577298,891126d06d3ffff,891126d06d3ffff,2023-06-09,1,150.0
577299,891126d06d3ffff,891126d06d3ffff,2023-06-13,1,151.0
577300,891126d06d3ffff,891126d06d3ffff,2023-06-14,1,153.0
577301,891126d06d3ffff,891126d06d3ffff,2023-06-16,1,157.0
577308,891126d06d3ffff,891126d3223ffff,2023-06-30,1,245.0
