,ORIGIN_CODE_R9,DESTINATION_CODE_R9,DAY,NUMBER_OF_USERS,EXTRAPOLATED_NUMBER_OF_USERS
215734,891126d06c3ffff,891126d06c3ffff,2023-05-01,6,726.0
215735,891126d06c3ffff,891126d06c3ffff,2023-05-02,13,1508.0
215736,891126d06c3ffff,891126d06c3ffff,2023-05-03,13,1461.0
215737,891126d06c3ffff,891126d06c3ffff,2023-05-04,14,1512.0
215738,891126d06c3ffff,891126d06c3ffff,2023-05-05,12,1299.0
215739,891126d06c3ffff,891126d06c3ffff,2023-05-06,14,1512.0
215740,891126d06c3ffff,891126d06c3ffff,2023-05-07,9,981.0
215741,891126d06c3ffff,891126d06c3ffff,2023-05-08,15,1515.0
215742,891126d06c3ffff,891126d06c3ffff,2023-05-09,11,1099.0
215743,891126d06c3ffff,891126d06c3ffff,2023-05-10,8,808.0
215744,891126d06c3ffff,891126d06c3ffff,2023-05-11,11,1079.0
215745,891126d06c3ffff,891126d06c3ffff,2023-05-12,10,987.0
215746,891126d06c3ffff,891126d06c3ffff,2023-05-13,10,1020.0
215747,891126d06c3ffff,891126d06c3ffff,2023-05-14,10,1003.0
215748,891126d06c3ffff,891126d06c3ffff,2023-05-15,12,1144.0
215749,891126d06c3ffff,891126d06c3ffff,2023-05-16,9,837.0
215750,891126d06c3ffff,891126d06c3ffff,2023-05-17,7,679.0
215751,891126d06c3ffff,891126d06c3ffff,2023-05-18,9,834.0
215752,891126d06c3ffff,891126d06c3ffff,2023-05-19,8,754.0
215753,891126d06c3ffff,891126d06c3ffff,2023-05-20,9,831.0
215754,891126d06c3ffff,891126d06c3ffff,2023-05-21,6,588.0
215755,891126d06c3ffff,891126d06c3ffff,2023-05-22,7,665.0
215756,891126d06c3ffff,891126d06c3ffff,2023-05-23,9,831.0
215757,891126d06c3ffff,891126d06c3ffff,2023-05-24,13,1169.0
215758,891126d06c3ffff,891126d06c3ffff,2023-05-25,13,1209.0
215759,891126d06c3ffff,891126d06c3ffff,2023-05-26,7,658.0
