,id,lat,lon
718,89089968b0bffff,60.23035113,24.83092122
719,89089968b0bffff,60.23035113,24.83092122
720,89089968b0bffff,60.23035113,24.83092122
721,89089968b0fffff,60.23306485,24.83314336
722,89089968b0fffff,60.23306485,24.83314336
723,89089968b0fffff,60.23306485,24.83314336
724,89089968b0fffff,60.23306485,24.83314336
725,89089968b0fffff,60.23306485,24.83314336
726,89089968b23ffff,60.23849231,24.83758884
727,89089968b23ffff,60.23849231,24.83758884
728,89089968b23ffff,60.23849231,24.83758884
729,89089968b2bffff,60.23610637,24.84050869
730,89089968b2bffff,60.23610637,24.84050869
731,89089968b2bffff,60.23610637,24.84050869
732,89089968b2bffff,60.23610637,24.84050869
733,89089968b2bffff,60.23610637,24.84050869
734,89089968b2bffff,60.23610637,24.84050869
735,89089968b2bffff,60.23610637,24.84050869
736,89089968b2bffff,60.23610637,24.84050869
737,89089968b2bffff,60.23610637,24.84050869
738,89089968b2bffff,60.23610637,24.84050869
739,89089968b2bffff,60.23610637,24.84050869
740,89089968b2bffff,60.23610637,24.84050869
741,89089968b33ffff,60.23816435,24.83244587
742,89089968b33ffff,60.23816435,24.83244587
743,89089968b33ffff,60.23816435,24.83244587
744,89089968b3bffff,60.23577858,24.8353659
745,89089968b3bffff,60.23577858,24.8353659
746,89089968b4fffff,60.22557923,24.83675974
747,89089968b53ffff,60.22492372,24.82647816
748,89089968b63ffff,60.23100659,24.84120499
749,89089968b6bffff,60.22862037,24.84412405
750,89089968b6bffff,60.22862037,24.84412405
751,89089968b77ffff,60.23339266,24.8382856
752,89089968b77ffff,60.23339266,24.8382856
753,89089968b83ffff,60.23446559,24.81479839
754,89089968b83ffff,60.23446559,24.81479839
755,89089968b83ffff,60.23446559,24.81479839
756,89089968b83ffff,60.23446559,24.81479839
757,89089968b83ffff,60.23446559,24.81479839
758,89089968b83ffff,60.23446559,24.81479839
759,89089968b83ffff,60.23446559,24.81479839
760,89089968b87ffff,60.23717938,24.81701915
761,89089968b8bffff,60.23208035,24.81771882
762,89089968b8bffff,60.23208035,24.81771882
763,89089968b8bffff,60.23208035,24.81771882
764,89089968b8bffff,60.23208035,24.81771882
765,89089968b8bffff,60.23208035,24.81771882
766,89089968b8bffff,60.23208035,24.81771882
767,89089968b8bffff,60.23208035,24.81771882
768,89089968b8fffff,60.23479411,24.81993972
769,89089968b97ffff,60.23685069,24.81187765
770,89089968b97ffff,60.23685069,24.81187765
771,89089968b97ffff,60.23685069,24.81187765
772,89089968b97ffff,60.23685069,24.81187765
773,89089968b9bffff,60.23175182,24.81257804
774,89089968b9bffff,60.23175182,24.81257804
775,89089968b9bffff,60.23175182,24.81257804
776,89089968b9bffff,60.23175182,24.81257804
777,89089968b9bffff,60.23175182,24.81257804
778,89089968b9bffff,60.23175182,24.81257804
779,89089968b9bffff,60.23175182,24.81257804
780,89089968b9bffff,60.23175182,24.81257804
781,89089968b9bffff,60.23175182,24.81257804
782,89089968ba3ffff,60.24022167,24.82438273
783,89089968ba3ffff,60.24022167,24.82438273
784,89089968ba3ffff,60.24022167,24.82438273
785,89089968ba7ffff,60.24293545,24.82660484
786,89089968ba7ffff,60.24293545,24.82660484
787,89089968bafffff,60.24054997,24.82952551
788,89089968bafffff,60.24054997,24.82952551
789,89089968bafffff,60.24054997,24.82952551
790,89089968bafffff,60.24054997,24.82952551
791,89089968bafffff,60.24054997,24.82952551
