,id,lat,lon,nearest_osm_node
1246,891126d216fffff,60.235899252832034,24.918380109716843,920079741
1247,891126d2183ffff,60.239048285603296,24.886810398466327,920079741
1248,891126d218bffff,60.2366606781542,24.88972830338668,920079741
1249,891126d218fffff,60.23937425392517,24.89195687027904,920079741
1250,891126d2193ffff,60.23872213488799,24.88166429409485,920079741
1251,891126d2197ffff,60.24143574526563,24.883892170589533,920079741
1252,891126d219bffff,60.23633469612989,24.88458237959249,920079741
1253,891126d21a3ffff,60.24480142700506,24.89641522156828,920079741
1254,891126d21a7ffff,60.24751502426358,24.898645006173364,920079741
1255,891126d21afffff,60.24512718535596,24.901563157184825,920079741
1256,891126d21c3ffff,60.23155937530273,24.890417581926997,920079741
1257,891126d21cbffff,60.22917149326516,24.89333469884076,920079741
1258,891126d21cfffff,60.231885019958746,24.895563144511897,920079741
1259,891126d220bffff,60.19920975773705,24.90774574626396,920079741
1260,891126d220fffff,60.201923087344845,24.909973706040702,920079741
1261,891126d222bffff,60.204960578547976,24.917344912910423,920079741
1262,891126d2243ffff,60.19410732968235,24.90843169626853,920079741
1263,891126d224bffff,60.191718076346426,24.91134487877151,920079741
1264,891126d225bffff,60.19139403586619,24.906204404900706,1514876445
1265,891126d2267ffff,60.202571240986366,24.92025866206233,920079741
1266,891126d226fffff,60.200181755864925,24.9231720888708,920079741
1267,891126d2287ffff,60.20605138308531,24.893860950649053,1514876445
1268,891126d228bffff,60.200949489611645,24.894549020215173,1514876445
1269,891126d2293ffff,60.2030129185027,24.886493359324728,1514876445
1270,891126d2297ffff,60.20572633105207,24.888719394509213,1514876445
1271,891126d22a3ffff,60.20908964556661,24.901230407722625,920079741
1272,891126d22a7ffff,60.211803045572985,24.90345834723844,920079741
1273,891126d22c7ffff,60.19856084750974,24.897463349669817,1514876445
1274,891126d22cbffff,60.19345872934273,24.898150753983717,1514876445
1275,891126d22cfffff,60.196172057841046,24.900377356910045,1514876445
1276,891126d22d3ffff,60.19552275594719,24.890096786705787,1514876445
1277,891126d22d7ffff,60.19823611906539,24.89232270104676,1514876445
1278,891126d2323ffff,60.2263433807698,24.930043591678885,920079741
1279,891126d2327ffff,60.22905678257138,24.932275608394235,920079741
1280,891126d2333ffff,60.22601915461549,24.9248967366842,920079741
1281,891126d2367ffff,60.2215645586581,24.935873395608123,945660238
1282,891126d236fffff,60.21917492613718,24.938787813444637,945660238
1283,891126d2383ffff,60.222331930819,24.90722895297764,920079741
1284,891126d23d3ffff,60.21451645288136,24.9056866921007,920079741
1285,891126d2407ffff,60.21874723585756,24.850655901519414,1514876445
1286,891126d240fffff,60.21636044933137,24.85357353016348,1514876445
1287,891126d2417ffff,60.21842026165551,24.84551510012344,1514876445
1288,891126d2437ffff,60.22417444251721,24.85510310122004,1514876445
1289,891126d243bffff,60.219074028043785,24.855797070274,1514876445
1290,891126d2467ffff,60.21701351442274,24.86385587510172,1514876445
1291,891126d246fffff,60.21462624296694,24.86677282137476,1514876445
1292,891126d2483ffff,60.21776576735334,24.83523459958094,2064621351
1293,891126d249bffff,60.21505213520002,24.833013247975973,2064621351
1294,891126d24abffff,60.22113387465736,24.84773795038874,1514876445
1295,891126d24b7ffff,60.22590670901487,24.841901080514177,1514876445
1296,891126d2523ffff,60.24078292409276,24.873599968293625,3158012273
1297,891126d252fffff,60.24110942585482,24.87874588565897,920079741
1298,891126d2533ffff,60.2404562400168,24.8684544185371,1514876445
1299,891126d2563ffff,60.23329493586108,24.87720975780962,3158012273
1300,891126d2567ffff,60.23600853174471,24.879436823202905,920079741
1301,891126d256bffff,60.23090753891712,24.88012755853295,3158012273
1302,891126d256fffff,60.23362111389274,24.88235476631602,920079741
1303,891126d2577ffff,60.23568218503617,24.874291634261496,3158012273
1304,891126d257bffff,60.23058134726229,24.874983097811064,1514876445
1305,891126d2583ffff,60.23676140242789,24.85079538657468,1514876445
1306,891126d2587ffff,60.23947509427963,24.853019975356307,1514876445
1307,891126d2593ffff,60.23643397600544,24.845651855512703,1514876445
1308,891126d2597ffff,60.23914768132208,24.847875896470796,1514876445
1309,891126d259bffff,60.234047717950375,24.848571202803527,1514876445
1310,891126d25b7ffff,60.24490250000499,24.85747036836672,1514876445
1311,891126d25d3ffff,60.22894765586225,24.849266305696517,1514876445
1312,891126d25d7ffff,60.23166131208817,24.85149022732261,1514876445
1313,891126d25dbffff,60.226561123072,24.852184864777414,1514876445
1314,891126d2617ffff,60.20171083475034,24.865932989703047,2064621351
1315,891126d2623ffff,60.20507568044148,24.87843738238525,1514876445
1316,891126d262bffff,60.2026876707132,24.881352716809214,1514876445
1317,891126d262fffff,60.20540109682501,24.88357820507344,1514876445
1318,891126d2633ffff,60.2047500819388,24.87329692648821,1514876445
1319,891126d2637ffff,60.20746354254674,24.8755217256682,1514876445
1320,891126d266bffff,60.19519783177432,24.884957051288364,1514876445
1321,891126d26a7ffff,60.20952532131849,24.86746493059202,1514876445
1322,891126d26abffff,60.204424301354265,24.868156837425776,1514876445
1323,891126d26afffff,60.207137775450285,24.870381089696757,1514876445
1324,891126d26b3ffff,60.2064856950635,24.8601009185413,2064621351
1325,891126d26bbffff,60.20409833872522,24.86301711524141,2064621351
1326,891126d2807ffff,60.26129410576071,24.953937542269585,1417896055
1327,891126d2817ffff,60.26096987929144,24.94878392426158,1417896055
1328,891126d2823ffff,60.26433164110829,24.96132883384148,1417896055
1329,891126d2827ffff,60.26704513973421,24.963566547770263,1417896055
1330,891126d2833ffff,60.26400761185155,24.956174299402218,1417896055
1331,891126d283bffff,60.26161814923383,24.95909152753524,1417896055
1332,891126d284bffff,60.24869847177879,24.95821468949384,1417896055
1333,891126d2853ffff,60.25076424975704,24.950146376445,1417896055
1334,891126d288bffff,60.25793194228509,24.94139542188224,945660238
1335,891126d288fffff,60.26064546986337,24.943630673555305,945660238
1336,891126d28abffff,60.26368339956592,24.95102013225692,1417896055
1337,891126d28c3ffff,60.25282935951134,24.942077743779397,945660238
1338,891126d28c7ffff,60.25554285923883,24.94431273012725,945660238
1339,891126d28cbffff,60.25044014965295,24.94499458688571,891591128
1340,891126d28cfffff,60.253153628390905,24.9472297149686,891591128
1341,891126d28d7ffff,60.25521842157926,24.93916057732615,945660238
1342,891126d28dbffff,60.25011586668348,24.93984316443848,945660238
1343,891126d2903ffff,60.27757524342225,24.967364200011747,1417896055
