,id,geometry,lon,lat
0,891126d33c7ffff,POINT (24.93823014697343 60.165104370729615),24.93823014697343,60.165104370729615
1,891126d33c3ffff,POINT (24.9360017051232 60.1623913166344),24.9360017051232,60.1623913166344
2,891126d33cfffff,POINT (24.94113964723899 60.162713516778346),24.94113964723899,60.162713516778346
3,891126d331bffff,POINT (24.94336863499402 60.165426557121),24.94336863499402,60.165426557121
4,891126d3313ffff,POINT (24.94045899367283 60.16781743225663),24.94045899367283,60.16781743225663
5,891126d338bffff,POINT (24.935320325030318 60.16749507733448),24.935320325030318,60.16749507733448
6,891126d33d7ffff,POINT (24.933092024297583 60.16478200206416),24.933092024297583,60.16478200206416
7,891126d33d3ffff,POINT (24.930864128316045 60.16206893424887),24.930864128316045,60.16206893424887
8,891126d33dbffff,POINT (24.933773668018645 60.15967826999614),24.933773668018645,60.15967826999614
9,891126d33cbffff,POINT (24.938911064327637 60.160000483869396),24.938911064327637,60.160000483869396
10,891126d3353ffff,POINT (24.94404882586538 60.160322515496425),24.94404882586538,60.160322515496425
11,891126d3357ffff,POINT (24.946277954619735 60.163035534643534),24.946277954619735,60.163035534643534
12,891126d330bffff,POINT (24.948507488315688 60.16574856120106),24.948507488315688,60.16574856120106
13,891126d3303ffff,POINT (24.94559802769621 60.16813960487213),24.94559802769621,60.16813960487213
14,891126d3317ffff,POINT (24.942688245325023 60.170530501190186),24.942688245325023,60.170530501190186
15,891126d338fffff,POINT (24.9375490306178 60.170208160034655),24.9375490306178,60.170208160034655
16,891126d3383ffff,POINT (24.93241018137133 60.169885636577206),24.93241018137133,60.169885636577206
17,891126d339bffff,POINT (24.930182021812417 60.167172540142964),24.930182021812417,60.167172540142964
18,891126d306fffff,POINT (24.92795426701015 60.16445945116183),24.92795426701015,60.16445945116183
19,891126d306bffff,POINT (24.925726916861084 60.161746369659056),24.925726916861084,60.161746369659056
20,891126d32a7ffff,POINT (24.92863663698213 60.159355873913874),24.92863663698213,60.159355873913874
21,891126d32afffff,POINT (24.93154603555619 60.156965230840136),24.93154603555619,60.156965230840136
22,891126d3237ffff,POINT (24.936682886156355 60.15728745841941),24.936682886156355,60.15728745841941
23,891126d3227ffff,POINT (24.941820101949148 60.157609503784975),24.941820101949148,60.157609503784975
24,891126d335bffff,POINT (24.94695768289095 60.15793136689961),24.94695768289095,60.15793136689961
25,891126d3343ffff,POINT (24.949186952588285 60.16064436483997),24.949186952588285,60.16064436483997
26,891126d3347ffff,POINT (24.951416627221658 60.16335737019274),24.951416627221658,60.16335737019274
27,891126d3373ffff,POINT (24.953646706894652 60.166070382932595),24.953646706894652,60.166070382932595
28,891126d330fffff,POINT (24.95073742705685 60.16846159514381),24.95073742705685,60.16846159514381
